,单价,建筑面积,总楼层,有无电梯,挂牌时间,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
20,0.1661950412601741,0.21335968379446638,0.2787096774193548,0.01,0.9456226415094383,0.13311557788944725,0.7311320754716933,0.6119999999999999,0.09687943262411348,0.01,0.2911155378486056,0.1550384665536576,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
21,0.1313049117464614,0.17075098814229248,0.16806451612903228,0.01,0.8531698113207554,0.05432160804020101,0.694150943396223,0.43,0.13163120567375888,0.01,0.19350597609561754,0.11972660494632067,0.9900000000000002,0.29,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
22,0.2852893851388184,0.178498023715415,0.5,0.01,0.723735849056602,0.275929648241206,0.8605660377358467,0.5139999999999999,0.16568794326241137,0.01,0.21302788844621515,0.295135828226192,0.9900000000000002,0.43,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
23,0.14265249346792233,0.17656126482213438,0.2787096774193548,0.99,0.99,0.3222211055276382,0.9715094339622647,0.43,0.14553191489361705,0.01,0.04123505976095618,0.034322162820011305,0.9900000000000002,0.43,0.5,0.402,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
24,0.21022218462753062,0.14557312252964424,0.2787096774193548,0.99,0.99,0.3301005025125628,0.99,0.43,0.11773049645390073,0.01,0.052948207171314744,0.047782414047898465,0.9900000000000002,0.43,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
25,0.16665557623263594,0.13782608695652174,0.5158064516129032,0.99,0.9604150943396209,0.1626633165829146,0.47226415094339375,0.29,0.13163120567375888,0.01,0.045139442231075695,0.07240274699004651,0.9900000000000002,0.29,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
26,0.20777213857403337,0.14944664031620553,0.5158064516129032,0.99,0.9604150943396209,0.1626633165829146,0.47226415094339375,0.29,0.13163120567375888,0.01,0.045139442231075695,0.07240274699004651,0.9900000000000002,0.29,0.255,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
27,0.22763040658659,0.14944664031620553,0.3419354838709678,0.99,0.9715094339622717,0.23160804020100503,0.8605660377358467,0.43,0.09618439716312058,0.01,0.24426294820717132,0.05434215673490677,0.9900000000000002,0.43,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
28,0.2184749713340476,0.14557312252964424,0.5,0.99,0.9567169811320753,0.2513065326633166,0.8420754716981115,0.45799999999999996,0.18862411347517732,0.01,0.07637450199203186,0.10788499152431867,0.9900000000000002,0.29,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.99
29,0.2786024173386718,0.13976284584980236,0.42096774193548386,0.99,0.9715094339622717,0.2513065326633166,0.9160377358490522,0.43,0.13163120567375888,0.01,0.10370517928286851,0.062435345764332593,0.9900000000000002,0.29,0.5,0.20600000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01,0.01,0.01,0.99,0.01
